iter	Passed	Remaining
790	1648	435
791	1650	433
792	1651	431
793	1653	428
794	1654	426
795	1656	424
796	1658	422
797	1659	420
798	1661	417
799	1662	415
800	1664	413
801	1665	411
802	1667	409
803	1668	406
804	1670	404
805	1671	402
806	1673	400
807	1675	398
808	1676	395
809	1678	393
810	1680	391
811	1682	389
812	1683	387
813	1685	385
814	1687	383
815	1689	380
816	1690	378
817	1692	376
818	1693	374
819	1695	372
820	1697	370
821	1698	367
822	1700	365
823	1701	363
824	1703	361
825	1705	359
826	1707	357
827	1708	354
828	1710	352
829	1711	350
830	1713	348
831	1714	346
832	1716	344
833	1717	341
834	1719	339
835	1721	337
836	1722	335
837	1724	333
838	1725	331
839	1727	328
840	1728	326
841	1730	324
842	1731	322
843	1733	320
844	1734	318
845	1736	316
846	1737	313
847	1739	311
848	1740	309
849	1742	307
850	1744	305
851	1745	303
852	1747	301
853	1748	298
854	1750	296
855	1751	294
856	1753	292
857	1755	290
858	1756	288
859	1758	286
860	1759	284
861	1761	281
862	1762	279
863	1764	277
864	1765	275
865	1767	273
866	1768	271
867	1770	269
868	1771	267
869	1773	264
870	1774	262
871	1776	260
872	1777	258
873	1779	256
874	1781	254
875	1782	252
876	1784	250
877	1785	248
878	1787	246
879	1788	243
880	1790	241
881	1791	239
882	1793	237
883	1794	235
884	1796	233
885	1797	231
886	1799	229
887	1800	227
888	1802	225
889	1803	222
890	1805	220
891	1807	218
892	1808	216
893	1810	214
894	1811	212
895	1813	210
896	1814	208
897	1816	206
898	1817	204
899	1819	202
900	1821	200
901	1822	198
902	1824	195
903	1825	193
904	1827	191
905	1828	189
906	1830	187
907	1832	185
908	1833	183
909	1835	181
910	1836	179
911	1838	177
912	1839	175
913	1841	173
914	1842	171
915	1844	169
916	1845	167
917	1847	164
918	1848	162
919	1850	160
920	1851	158
921	1853	156
922	1854	154
923	1856	152
924	1857	150
925	1859	148
926	1860	146
927	1862	144
928	1864	142
929	1865	140
930	1867	138
931	1868	136
932	1869	134
933	1871	132
934	1873	130
935	1874	128
936	1876	126
937	1878	124
938	1879	122
939	1881	120
940	1882	118
941	1884	116
942	1885	113
943	1887	111
944	1888	109
945	1890	107
946	1891	105
947	1893	103
948	1894	101
949	1896	99
950	1898	97
951	1899	95
952	1900	93
953	1902	91
954	1904	89
955	1905	87
956	1907	85
957	1908	83
958	1910	81
959	1911	79
960	1913	77
961	1914	75
962	1916	73
963	1917	71
964	1919	69
965	1921	67
966	1922	65
967	1924	63
968	1926	61
969	1928	59
970	1930	57
971	1932	55
972	1934	53
973	1936	51
974	1937	49
975	1939	47
976	1941	45
977	1942	43
978	1944	41
979	1945	39
980	1947	37
981	1948	35
982	1950	33
983	1951	31
984	1953	29
985	1954	27
986	1956	25
987	1957	23
988	1959	21
989	1960	19
990	1962	17
991	1964	15
992	1965	13
993	1966	11
994	1968	9
995	1969	7
996	1971	5
997	1972	3
998	1974	1
999	1976	0
